run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
2.55,-4.34,-0.9,55.919
1.15,2.22,1.45,56.013
1.8,1.24,-1.62,56.023
2.9,-5.62,0.35,56.119
2.9,-5.62,0.35,56.214
2.9,-5.62,0.35,56.312
2.9,-5.62,0.35,56.411
2.9,-5.62,0.35,56.421
2.9,-5.62,0.35,56.518
2.9,-5.62,0.35,56.613
2.9,-5.62,0.35,56.712
4.79,-5.69,-2.52,56.81
6.81,-8.17,-1.83,56.907
5.98,-8.17,-3.65,56.918
5.98,-8.17,-3.65,57.015
5.98,-8.17,-3.65,57.115
5.98,-8.17,-3.65,57.211
5.98,-8.17,-3.65,57.311
5.98,-8.17,-3.65,57.322
5.98,-8.17,-3.65,57.416
5.98,-8.17,-3.65,57.516
8.04,-12.55,-2.03,57.612
6.72,-17.33,-1.37,57.705
5.1,-11.7,-1.14,57.715
5.1,-11.7,-1.14,57.813
5.1,-11.7,-1.14,57.91
5.1,-11.7,-1.14,58.008
5.1,-11.7,-1.14,58.108
5.1,-11.7,-1.14,58.209
5.1,-11.7,-1.14,58.216
5.1,-11.7,-1.14,58.314
2.33,-10.37,-0.69,58.408
1.06,-5.73,-1.95,58.502
1.18,-2.54,-1.31,58.596
1.18,-2.54,-1.31,58.694
1.18,-2.54,-1.31,58.705
1.18,-2.54,-1.31,58.802
1.18,-2.54,-1.31,58.899
1.18,-2.54,-1.31,59.001
1.18,-2.54,-1.31,59.108
1.18,-2.54,-1.31,59.116
-0.44,0.05,-2.82,59.215
3.6,2.73,-1.03,59.307
9.98,-3.33,-0.8,59.407
9.98,-3.33,-0.8,59.502
9.98,-3.33,-0.8,59.6
9.98,-3.33,-0.8,59.61
9.98,-3.33,-0.8,59.71
9.98,-3.33,-0.8,59.809
9.98,-3.33,-0.8,59.911
9.98,-3.33,-0.8,60.003
10.93,-1.18,1.46,60.013
10.06,-6.22,1.39,60.11
5.95,-8.33,0.81,60.203
5.95,-8.33,0.81,60.302
5.95,-8.33,0.81,60.312
5.95,-8.33,0.81,60.409
5.95,-8.33,0.81,60.51
5.95,-8.33,0.81,60.609
5.95,-8.33,0.81,60.705
5.95,-8.33,0.81,60.716
8.98,-15.76,0.34,60.814
