NAME:,run_3_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
29.657,1.53,-18.59,1.26
29.708,-4.71,-11.69,8.75
29.757,5.69,-15.42,4.04
29.811,-0.04,-17.57,-3.06
29.861,-1.65,-9.85,-3.02
29.926,-2.43,-7.96,-5.53
29.996,-0.43,-1.29,-2.24
30.025,-0.47,-3.06,6.04
30.08,-7.96,-15.34,13.34
30.107,0.04,-7.14,3.53
30.171,1.1,-9.96,-2.35
30.219,0.9,-13.77,-5.65
30.262,2.31,-17.1,6.94
30.333,5.84,-6.98,-1.92
30.363,1.22,-4.2,2.67
30.427,-2.79,-2.79,2.55
30.482,4,2.31,6.55
30.534,0.04,-20.01,7.96
30.585,4.47,-16.2,4.2
30.739,-0.59,-7.3,-4.08
30.783,-2.35,-0.75,-1.57
30.836,1.33,-4.04,-1.14
30.889,-4.2,-2.9,3.18
30.921,0.71,-13.57,-0.51
30.997,-0.04,-14.24,1.45
31.031,0.86,-16.55,1.33
31.088,3.96,-12.43,3.96
31.135,5.65,-7.88,-0.39
31.181,0.86,-2.08,2.82
31.237,-2.47,-0.78,1.22
31.312,2.39,1.45,-0.78
31.34,-4,-20.01,2.67
31.39,0.24,-18.67,2.39
31.443,4.82,-14.47,0.04
31.489,-4.2,-13.81,-4.2
31.546,-1.22,-11.1,-4.67
31.595,-1.33,-1.1,-4.12
31.653,0.55,-2.2,1.77
31.688,-7.73,-4.39,4.43
31.744,-1.57,-15.3,1.96
31.797,2.82,-10.75,2.2
31.864,-0.08,-15.02,-0.2
31.89,3.57,-15.85,2.43
31.946,4.94,-8.04,1.92
32.001,0.75,-3.41,-1.69
32.053,-0.39,-2.55,3.84
32.093,-0.16,-0.67,-0.08
32.168,-3.26,-16.16,2.9
32.222,-4.28,-19.3,13.53
32.255,6.55,-16.63,1.53
32.309,-2.08,-11.85,-1.06
32.357,-2.59,-6.79,-4.2
32.409,-2.12,-0.86,-3.77
32.471,-3.77,-1.06,0.63
32.537,-5.3,-1.53,6.59
32.554,5.06,-8.39,-0.39
32.616,2.43,-10.08,1.92
32.67,1.96,-19.5,-5.49
32.726,3.02,-17.3,3.53
32.781,3.92,-8.9,1.41
33.066,1.84,-3.14,0.51
33.085,-0.16,-19.93,9.65
33.193,-2.51,-11.34,-2.75
33.198,-2.63,-6.75,-3.02
33.211,-1.14,0.43,-2.86
33.271,-0.71,-1.96,1.1
33.334,-8.75,-14.98,9.92
33.384,-2.67,-5.96,0.86
33.435,-0.12,-16.2,2.59
33.494,4.12,-19.93,4.28
33.522,4.59,-12,6.51
33.576,3.96,-5.73,-0.78
33.627,-1.1,-1.45,2.63
33.697,0.2,-1.29,2.31
33.742,-5.81,-0.27,6.24
33.883,0,-18.79,-1.57
33.935,-4.16,-8.83,-2.79
33.98,-0.51,2.86,-8.9
34.04,0.08,-0.9,-1.77
34.089,0.98,-5.18,4.98
34.139,19.85,-19.73,-8.16
34.21,4.12,-14.24,-1.02
34.237,0.27,-17.26,-1.22
34.293,3.06,-14.47,2.24
34.346,5.65,-11.85,3.3
34.516,1.77,0.71,3.53
34.562,-2,-15.81,4.28
34.616,0.04,-18.48,-1.92
34.657,3.22,-15.77,-2.28
34.71,-2.12,-13.81,-2
34.761,-0.94,-8.24,-4.12
34.809,-1.77,0.12,-3.41
34.856,0.47,-1.69,4.71
34.913,-6.67,-2,-1.73
34.972,6.24,-14.71,-6.98
35.025,2,-11.77,5.41
35.114,1.14,-18.55,-1.18
35.123,4.12,-14.44,2.47
35.172,3.41,-9.34,0.04
35.218,3.8,-4.47,1.14
35.267,-2,-1.1,2
