Time [sec],ACC X,ACC Y,ACC Z
40.822,0.31,-9.14,-1.45
40.874,-1.53,-11.45,-2.28
40.925,1.41,-12.47,-0.78
40.961,3.69,-14.12,1.92
41.025,4.82,-12.98,1.61
41.084,5.81,-13.1,-0.98
41.133,0.59,-10.47,-4.16
41.185,1.57,-8.55,-1.96
41.215,0.12,-4.94,-2.86
41.271,1.18,-3.84,-2.35
41.325,2.86,-2.04,-3.77
41.38,2.47,-10.4,-5.1
41.429,1.14,-11.18,-3.73
41.485,0.86,-10.63,-9.41
41.539,3.53,-18.51,1.1
41.633,3.73,-5.26,-3.84
41.642,-3.33,-15.42,-1.18
41.694,4.79,-12.59,-0.39
41.746,0.78,-6.16,-1.18
41.803,0.39,-8.67,-1.06
41.831,0.16,-8.94,0.43
41.885,-2.94,-6.47,-0.94
41.938,-0.63,-9.38,-0.55
42.009,-1.29,-9.02,-0.27
42.032,0.27,-11.34,-0.75
42.088,2.59,-15.3,1.14
42.147,4.04,-15.38,5.73
42.302,-1.53,-10.79,-3.02
42.341,2.39,-6.16,-2.39
42.405,1.61,-4.43,-3.3
42.458,0.12,-3.02,-3.14
42.507,1.26,-2.59,-3.96
42.558,3.22,-15.26,-3.96
