""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""177482.0""","""10.2""","""0.86""","""-0.55"""
"""177583.0""","""9.81""","""-1.02""","""-0.24"""
"""177684.0""","""5.53""","""-0.63""","""-2.43"""
"""177785.0""","""6.47""","""-3.92""","""-0.75"""
"""177886.0""","""10.59""","""-4.82""","""-0.63"""
"""177987.0""","""10.55""","""-3.57""","""0.04"""
"""178088.0""","""13.85""","""-4.82""","""-1.73"""
"""178189.0""","""11.14""","""-3.22""","""0.47"""
"""178290.0""","""7.22""","""-0.67""","""-0.35"""
"""178391.0""","""5.22""","""0.04""","""1.29"""
"""178492.0""","""10.28""","""-3.22""","""1.96"""
"""178593.0""","""10.24""","""-6.98""","""4.28"""
"""178694.0""","""8.16""","""2.51""","""-1.69"""
"""178795.0""","""10.47""","""-0.35""","""-1.37"""
"""178896.0""","""7.3""","""-3.22""","""-0.9"""
"""178997.0""","""9.65""","""-6.04""","""0.94"""
"""179098.0""","""9.3""","""-3.26""","""0.67"""
"""179199.0""","""13.57""","""-4.82""","""-1.65"""
"""179300.0""","""10.4""","""-1.65""","""-1.14"""
"""179401.0""","""9.38""","""-5.33""","""0.12"""
"""179502.0""","""4.79""","""-1.1""","""1.33"""
"""179603.0""","""9.34""","""-1.73""","""1.61"""
"""179704.0""","""11.49""","""-6.55""","""4.51"""
"""179805.0""","""8.59""","""2.98""","""0.24"""
"""179906.0""","""12.59""","""-1.69""","""-1.1"""
"""180007.0""","""6.98""","""-1.37""","""-0.82"""
"""180108.0""","""9.61""","""-6.28""","""-0.08"""
"""180209.0""","""9.41""","""-4.86""","""0.04"""
"""180310.0""","""13.61""","""-3.3""","""-0.63"""
"""180411.0""","""10.36""","""-0.78""","""-1.14"""
"""180512.0""","""11.96""","""-5.88""","""0.08"""
"""180613.0""","""4.63""","""-1.96""","""1.45"""
"""180714.0""","""7.49""","""-2.16""","""1.88"""
"""180815.0""","""12.47""","""-3.41""","""1.92"""
"""180916.0""","""19.18""","""-2.0""","""1.02"""
"""181017.0""","""6.71""","""-1.88""","""-0.9"""
"""181118.0""","""7.77""","""0.08""","""-0.71"""
"""181219.0""","""8.39""","""-4.82""","""-0.75"""
"""181320.0""","""7.88""","""-3.69""","""0.82"""
"""181421.0""","""11.22""","""-3.8""","""0.9"""
"""181522.0""","""13.45""","""-3.26""","""-4.04"""
"""181623.0""","""12.16""","""-3.96""","""0.39"""
"""181724.0""","""6.63""","""-1.37""","""0.35"""
"""181825.0""","""5.49""","""-1.02""","""1.8"""
"""181926.0""","""12.79""","""-3.06""","""-0.78"""
"""182027.0""","""9.69""","""-6.04""","""1.22"""
"""182128.0""","""5.81""","""3.53""","""-2.08"""
"""182229.0""","""15.49""","""0.35""","""-1.53"""
"""182330.0""","""6.47""","""-3.49""","""-1.37"""
"""182431.0""","""8.9""","""-4.86""","""1.06"""
"""182532.0""","""9.77""","""-3.73""","""1.37"""
"""182633.0""","""14.32""","""-4.43""","""-2.67"""
"""182734.0""","""16.32""","""-1.02""","""-0.55"""
"""182835.0""","""8.24""","""-1.8""","""0.78"""
"""182936.0""","""6.39""","""-1.14""","""1.92"""
"""183037.0""","""7.73""","""-3.26""","""2.98"""
"""183138.0""","""15.06""","""-4.79""","""3.37"""
