"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""31.172067328""","""7.85""","""-0.43""","""-4.67"""
"""31.197233152000003""","""7.41""","""-1.96""","""-3.37"""
"""31.205621760000003""","""11.57""","""-1.77""","""-4.55"""
"""31.230787584""","""8.79""","""-1.84""","""-3.18"""
"""31.230787584""","""7.81""","""-3.41""","""-1.927.88"""
"""31.264342016""","""12.28""","""-1.84""","""-1.84"""
"""31.398559744000003""","""14.28""","""-5.14""","""-4.39"""
"""31.465668608""","""3.33""","""-0.47""","""-3.33"""
"""31.49922304""","""11.10""","""-2.31""","""-4.75"""
"""31.599886336""","""9.38""","""-4.39""","""-1.92"""
"""31.666995200000002""","""8.63""","""-1.14""","""-3.69"""
"""31.75088128""","""7.45""","""-0.90""","""-1.84"""
"""31.83476736""","""7.26""","""-1.53""","""-1.41"""
"""31.918653440000003""","""14.36""","""-1.77""","""-0.39"""
"""32.00253952""","""16.20""","""-3.77""","""-4.86"""
"""32.061259776""","""6.63""","""0.04""","""-4.55"""
"""32.153534464""","""9.10""","""-2.55""","""-3.22"""
"""32.287752192""","""8.90""","""-0.71""","""-4.75"""
"""32.354861056000004""","""10.59""","""-2.47""","""-3.49"""
"""32.42196992""","""7.22""","""-3.80""","""-1.29"""
"""32.489078784""","""8.28""","""-1.65""","""-1.22"""
"""32.572964864""","""10.98""","""-1.80""","""-1.45"""
"""32.63168512""","""14.44""","""-5.92""","""-4.47"""
"""32.723959808000004""","""4.90""","""-0.31""","""-3.30"""
"""32.807845888""","""7.77""","""-1.65""","""-4.39"""
"""32.883343360000005""","""10.08""","""-4.20""","""-3.37"""
"""32.958840832""","""8.79""","""-1.88""","""-4.20"""
"""33.042726912""","""8.04""","""-1.33""","""-1.84"""
"""33.168556032000005""","""5.96""","""-2.04""","""-1.41"""
"""33.235664896""","""12.91""","""-1.57""","""-3.22"""
"""33.30277376""","""17.81""","""-2.12""","""-6.90"""
"""33.369882624""","""7.73""","""-0.31""","""-4.39"""
"""33.453768704000005""","""7.18""","""-3.14""","""-2.90"""
"""33.520877568""","""12.40""","""-1.06""","""-5.73"""
