"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""32.942063616""","""-4.04""","""-2.04""","""-0.94"""
"""33.025949696000005""","""-1.65""","""3.84""","""-0.04"""
"""33.067892736000005""","""-2.47""","""-0.86""","""-0.78"""
"""33.1350016""","""-15.30""","""7.45""","""-12.20"""
"""33.21888768""","""-20.01""","""-1.06""","""-9.81"""
"""33.30277376""","""-11.61""","""0.59""","""-5.92"""
"""33.403437056""","""2.94""","""-3.26""","""0.63"""
"""33.51248896""","""-0.39""","""2.47""","""-1.26"""
"""33.579597824000004""","""-0.71""","""-1.29""","""-7.34"""
"""33.655095296""","""-20.01""","""4.67""","""-15.73"""
"""33.738981376000005""","""-20.01""","""0.67""","""-8.32"""
"""33.831256064""","""-1.61""","""-0.59""","""-0.59"""
"""33.898364928""","""-1.69""","""0.24""","""-0.78"""
"""33.9738624""","""-0.47""","""-1.84""","""0.59"""
"""34.05774848""","""-18.48""","""1.02""","""-13.69"""
"""34.158411776""","""-20.01""","""3.26""","""-10.36"""
"""34.242297856""","""-12.24""","""-0.24""","""-7.45"""
"""34.309406720000005""","""4.75""","""-1.14""","""0.82"""
"""34.393292800000005""","""0.16""","""6.32""","""-2.67"""
"""34.485567488""","""-1.61""","""1.57""","""-4.16"""
"""34.56106496""","""-20.01""","""0.31""","""-15.18"""
"""34.64495104""","""-20.01""","""3.18""","""-9.45"""
"""34.737225728000006""","""-2.35""","""-1.69""","""-0.27"""
"""34.804334592000004""","""-2.55""","""-0.39""","""1.96"""
"""34.89660928""","""-2.47""","""-2.39""","""-2.90"""
"""34.972106752""","""-18.75""","""3.45""","""-12.12"""
"""35.0224384""","""-20.01""","""1.37""","""-11.49"""
"""35.089547264000004""","""-10.40""","""-0.27""","""-6.79"""
"""35.173433344""","""2.59""","""-2.04""","""0.94"""
"""35.265708032""","""0.31""","""4.28""","""-2.04"""
"""35.366371328""","""-6.51""","""0.75""","""-1.84"""
"""35.425091584""","""-20.01""","""1.84""","""-8.51"""
"""35.500589056""","""-20.01""","""-0.08""","""-8.55"""
"""35.592863744""","""-3.30""","""0.59""","""-3.18"""
"""35.685138432""","""-2.43""","""1.18""","""2.12"""
"""35.785801728""","""-0.47""","""1.02""","""-2.71"""
"""36.222009344""","""-15.73""","""6.63""","""-9.41"""
"""36.74210304""","""-20.01""","""-4.24""","""-9.14"""
"""36.758880256000005""","""-11.81""","""2.55""","""-8.472.63"""
"""36.775657472""","""-1.06""","""3.92""","""-1.73"""
"""36.792434688""","""-2.63""","""-1.22""","""-1.29"""
"""36.842766336000004""","""-19.02""","""1.65""","""-10.04-20.01"""
"""36.851154944""","""-9.34""","""1.88""","""-4.24"""
"""36.86793216""","""6.75""","""2.47""","""0.20"""
"""36.876320768""","""-2.47""","""-3.18""","""-3.26"""
"""36.884709376""","""-13.53""","""-2.90""","""-8.24"""
"""36.893097984""","""-19.53""","""-2.12""","""-13.96"""
"""36.99376128""","""-18.20""","""1.41""","""-10.16"""
"""37.018927104""","""-0.08""","""1.41""","""-0.24"""
"""37.07764736""","""-2.24""","""0.39""","""2.24"""
"""37.144756224000005""","""-0.63""","""3.10""","""-2.82"""
"""37.228642304000005""","""-20.01""","""-0.31""","""-13.61"""
"""37.295751168""","""-20.01""","""9.49""","""-10.04"""
"""37.404803072""","""-11.14""","""-0.59""","""-6.86"""
"""37.488689152""","""1.14""","""3.53""","""0.12"""
"""37.572575232000005""","""-1.02""","""0.82""","""-1.06"""
