ACC Z,ACC Y,ACC X,Time [sec]
0.51,0.55,-2.17,54.649
0.47,1.96,-1.16,54.732
2.45,-5.88,-2.42,54.816
2.45,-5.88,-2.42,54.899
2.45,-5.88,-2.42,54.98
2.45,-5.88,-2.42,55.065
2.45,-5.88,-2.42,55.15
2.45,-5.88,-2.42,55.232
2.45,-5.88,-2.42,55.314
2.45,-5.88,-2.42,55.373
1.79,-6.71,-2.2,55.452
3.16,-11.44,-3.97,55.545
2,-10.64,-3.13,55.634
2,-10.64,-3.13,55.717
2,-10.64,-3.13,55.794
2,-10.64,-3.13,55.89
2,-10.64,-3.13,55.97
2,-10.64,-3.13,56.053
2,-10.64,-3.13,56.133
2,-10.64,-3.13,56.213
5.39,-17.7,-3.75,56.29
4.37,-17.13,-2.43,56.374
3.18,-10.37,-1.26,56.454
3.18,-10.37,-1.26,56.537
3.18,-10.37,-1.26,56.621
3.18,-10.37,-1.26,56.704
3.18,-10.37,-1.26,56.788
3.18,-10.37,-1.26,56.872
3.18,-10.37,-1.26,56.955
3.18,-10.37,-1.26,57.02
0.73,-6.52,-1.39,57.101
-0.82,-0.97,-1.19,57.186
-0.61,-5.16,-2.03,57.271
-0.61,-5.16,-2.03,57.346
-0.61,-5.16,-2.03,57.433
-0.61,-5.16,-2.03,57.514
-0.61,-5.16,-2.03,57.595
-0.61,-5.16,-2.03,57.678
-0.61,-5.16,-2.03,57.758
-0.61,-5.16,-2.03,57.835
-0.88,-2.73,-1.95,57.918
3.15,-4.89,-1.07,58.003
3.16,-8.36,-1.46,58.085
3.16,-8.36,-1.46,58.149
3.16,-8.36,-1.46,58.23
3.16,-8.36,-1.46,58.313
3.16,-8.36,-1.46,58.393
3.16,-8.36,-1.46,58.477
3.16,-8.36,-1.46,58.562
3.16,-8.36,-1.46,58.641
3.82,-13.94,-2.79,58.728
0.03,-18.27,-2.65,58.806
2.37,-11.69,-3.66,58.886
2.37,-11.69,-3.66,58.97
2.37,-11.69,-3.66,59.05
2.37,-11.69,-3.66,59.124
2.37,-11.69,-3.66,59.204
2.37,-11.69,-3.66,59.294
2.37,-11.69,-3.66,59.372
2.37,-11.69,-3.66,59.454
2.17,-9.09,-1.19,59.539
3.56,-2.2,-2.51,59.631
0.46,-2.35,-1.63,59.712
0.46,-2.35,-1.63,59.792
0.46,-2.35,-1.63,59.855
0.46,-2.35,-1.63,59.944
0.46,-2.35,-1.63,60.03
0.46,-2.35,-1.63,60.116
0.46,-2.35,-1.63,60.2
0.46,-2.35,-1.63,60.286
-0.16,1.71,-2.51,60.375
0.25,0.99,-1.83,60.437
-2.72,-3.1,-4.67,60.521
-2.72,-3.1,-4.67,60.601
-2.72,-3.1,-4.67,60.684
-2.72,-3.1,-4.67,60.77
-2.72,-3.1,-4.67,60.832
-2.72,-3.1,-4.67,60.915
-2.72,-3.1,-4.67,60.993
-2.72,-3.1,-4.67,61.074
-2.67,-3.02,-5.07,61.159
-0.16,-9.9,-7.64,61.248
4.88,-12.57,-3.18,61.333
4.88,-12.57,-3.18,61.419
4.88,-12.57,-3.18,61.511
4.88,-12.57,-3.18,61.576
4.88,-12.57,-3.18,61.661
4.88,-12.57,-3.18,61.748
4.88,-12.57,-3.18,61.809
4.88,-12.57,-3.18,61.891
4.81,-12.98,-2.54,61.97
3.53,-11.81,-3.01,62.054
4.3,-11.81,-5.14,62.138
4.3,-11.81,-5.14,62.223
4.3,-11.81,-5.14,62.31
